City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
270,Toccoa,US,2022-01-22 16:39:05,34.5773,-83.3324,41.83,72,75,0.0
271,Bardiyah,LY,2022-01-22 16:39:05,31.7561,25.0865,57.85,55,34,19.55
272,Goundam,ML,2022-01-22 16:39:06,16.4145,-3.6708,79.74,9,87,16.13
273,Isangel,VU,2022-01-22 16:39:06,-19.55,169.2667,79.03,85,4,1.74
274,Broome,US,2022-01-22 16:40:07,42.2506,-75.833,18.48,49,16,5.28
275,Sur,OM,2022-01-22 16:40:07,22.5667,59.5289,65.62,53,0,18.12
276,Belmopan,BZ,2022-01-22 16:40:07,17.25,-88.7667,78.3,63,44,3.83
277,Rio Gallegos,AR,2022-01-22 16:40:08,-51.6226,-69.2181,64.45,42,75,12.66
278,San Cristobal,VE,2022-01-22 16:40:08,7.7669,-72.225,73.58,35,50,4.32
279,Liberty,US,2022-01-22 16:40:09,31.8335,-81.5004,36.99,93,100,3.0
280,Babugarh,IN,2022-01-22 16:40:09,28.7167,77.85,52.32,92,100,14.03
281,Gold Coast,AU,2022-01-22 16:40:09,-28.0,153.4333,69.01,91,75,7.0
282,Solok,ID,2022-01-22 16:40:10,-0.7918,100.6593,70.93,97,94,1.03
283,Coquimbo,CL,2022-01-22 16:40:10,-29.9533,-71.3436,69.53,56,0,14.97
284,Proddatur,IN,2022-01-22 16:40:11,14.7333,78.55,76.82,36,4,4.63
285,Ukiah,US,2022-01-22 16:40:11,39.1502,-123.2078,62.49,20,0,13.8
286,Grand Gaube,MU,2022-01-22 16:40:11,-20.0064,57.6608,82.38,84,23,8.01
287,Batticaloa,LK,2022-01-22 16:40:12,7.7102,81.6924,75.13,68,54,3.0
288,Rio Grande,BR,2022-01-22 16:40:12,-32.035,-52.0986,97.95,63,24,13.31
289,Alofi,NU,2022-01-22 16:40:12,-19.0595,-169.9187,76.89,94,51,3.44
290,Henties Bay,NA,2022-01-22 16:40:13,-22.116,14.2845,74.86,81,99,6.91
291,Mehamn,NO,2022-01-22 16:40:13,71.0357,27.8492,25.48,84,100,17.74
292,Bubaque,GW,2022-01-22 16:40:14,11.2833,-15.8333,79.43,76,21,17.22
293,Rongcheng,CN,2022-01-22 16:40:14,30.634,117.8517,46.13,97,100,2.8
